timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
1306365288,0.11125919,-0.15987733,0.37921575
1306377663,0.10828775,-0.15222825,0.36882848
1306401582,0.10234488,-0.15375806,0.37328017
1306412884,0.097887725,-0.15528789,0.36882848
1306425525,0.10977347,-0.16599661,0.3628929
1306449678,0.10977347,-0.1568177,0.36734456
1306473251,0.10828775,-0.16140716,0.36882848
1306497276,0.1038306,-0.15528789,0.38069963
1306508980,0.11720206,-0.15528789,0.361409
1306521144,0.09343058,-0.15834752,0.361409
1306532824,0.10531632,-0.1568177,0.38218355
1306545334,0.10531632,-0.15987733,0.35398954
1306580882,0.099373445,-0.16293697,0.37328017
1306593246,0.099373445,-0.15987733,0.37921575
1306604870,0.09491629,-0.14304934,0.36734456
1306620009,0.1201735,-0.14610898,0.38366744
1306633284,0.097887725,-0.15528789,0.38960302
1306657452,0.09491629,-0.14304934,0.37624794
1306669165,0.114230625,-0.16599661,0.36882848
1306693160,0.10828775,-0.16140716,0.38663524
1306705526,0.099373445,-0.14916861,0.36734456
1306717230,0.08897342,-0.16599661,0.37328017
1306729276,0.1038306,-0.1476388,0.37179625
1306740753,0.10531632,-0.14916861,0.37328017
1306765288,0.1038306,-0.14610898,0.37773186
1306793276,0.09491629,-0.16599661,0.36882848
1306805283,0.09343058,-0.14610898,0.36882848
1306832209,0.099373445,-0.17517549,0.36882848
1306857285,0.10977347,-0.15375806,0.37624794
1306881301,0.10234488,-0.1568177,0.36882848
1306892938,0.10234488,-0.1568177,0.37624794
1306905194,0.09343058,-0.17211588,0.37476408
1306916905,0.083030544,-0.15987734,0.3628929
1306929287,0.100859165,-0.16752642,0.37476408
1306955902,0.099373445,-0.16599661,0.37624794
1306968160,0.09194486,-0.16140716,0.36882848
1306979955,0.09491629,-0.16599661,0.36882848
1306993247,0.09343058,-0.15222825,0.36882848
1307004889,0.083030544,-0.15375808,0.37328017
1307020214,0.09194486,-0.15528789,0.38069963
1307045319,0.086001985,-0.15987733,0.37328017
1307057300,0.0874877,-0.16140716,0.36882848
1307081451,0.0785734,-0.15987734,0.37328017
1307105296,0.100859165,-0.16752642,0.37773186
1307117162,0.0874877,-0.1476388,0.36882848
1307131836,0.097887725,-0.1476388,0.37773186
1307156915,0.10977347,-0.15987733,0.37328017
1307171894,0.09491629,-0.15987733,0.37328017
1307185320,0.099373445,-0.14916861,0.37328017
1307196856,0.10234488,-0.1568177,0.3628929
1307220854,0.11125919,-0.15528789,0.3658607
1307244858,0.09194486,-0.15528789,0.38069963
1307257249,0.10531632,-0.15528789,0.37921575
1307268948,0.09343058,-0.15834752,0.37179625
1307281137,0.099373445,-0.15375806,0.38218355
1307292768,0.09343058,-0.15834752,0.38366744
1307317687,0.09194486,-0.15528789,0.38663524
1307332016,0.10531632,-0.1476388,0.37624794
1307357047,0.1038306,-0.15528789,0.38366744
1307369736,0.097887725,-0.13845989,0.36882848
1307381735,0.1038306,-0.16599661,0.38663524
1307404875,0.099373445,-0.14916861,0.37328017
1307432107,0.09343058,-0.14151953,0.37773186
1307444776,0.09343058,-0.15222825,0.3658607
1307457252,0.08897342,-0.1568177,0.36882848
1307468903,0.11125919,-0.16599661,0.38218355
1307481294,0.09343058,-0.14151953,0.37179625
1307492925,0.100859165,-0.15222825,0.37773186
1307516868,0.097887725,-0.16752642,0.36882848
1307540834,0.0874877,-0.15834752,0.38069963
1307553282,0.083030544,-0.16599663,0.37921575
1307565282,0.11125919,-0.16599661,0.37773186
1307579884,0.09491629,-0.15987733,0.37328017
1307593131,0.099373445,-0.14304934,0.37624794
1307604860,0.09491629,-0.15375806,0.36734456
1307633229,0.09194486,-0.16599661,0.36882848
1307645280,0.10531632,-0.1568177,0.37328017
1307669316,0.100859165,-0.15528789,0.3658607
1307681283,0.086001985,-0.14916861,0.37624794
1307705188,0.097887725,-0.1476388,0.37476408
1307717319,0.09491629,-0.16293697,0.37921575
1307729296,0.086001985,-0.15375806,0.37328017
1307740761,0.09343058,-0.14304934,0.38663524
1307753603,0.086001985,-0.16599661,0.36734456
1307765019,0.084516264,-0.15834753,0.37773186
1307777658,0.09343058,-0.15834752,0.37476408
1307788762,0.09194486,-0.15222825,0.37476408
1307817595,0.084516264,-0.146109,0.37773186
1307829682,0.09491629,-0.16905624,0.36882848
1307841656,0.10234488,-0.1568177,0.38663524
1307867868,0.099373445,-0.15375806,0.38218355
1307880189,0.10234488,-0.1568177,0.36734456
1307905335,0.09343058,-0.15222825,0.37476408
1307916900,0.10828775,-0.15528789,0.37773186
1307929626,0.08897342,-0.1568177,0.37328017
1307940924,0.086001985,-0.1568177,0.37328017
1307953339,0.097887725,-0.1476388,0.361409
1307977530,0.1038306,-0.14610898,0.3658607
1307988855,0.1038306,-0.14610898,0.37624794
1308001681,0.10234488,-0.16293697,0.37921575
1308013645,0.100859165,-0.16140716,0.37179625
1308027682,0.0785734,-0.15681772,0.36882848
1308040096,0.08897342,-0.1568177,0.37921575
1308091914,0.10234488,-0.16599661,0.37921575
1308105274,0.10828775,-0.16752642,0.38069963
1308116883,0.09491629,-0.15375806,0.36882848
1308129270,0.100859165,-0.15834752,0.3658607
1308140860,0.10234488,-0.15987733,0.3599251
1308153190,0.10531632,-0.16905624,0.3599251
1308179890,0.10234488,-0.16599661,0.36882848
1308204996,0.09194486,-0.16599661,0.3658607
1308233666,0.084516264,-0.17211589,0.361409
1308245651,0.09491629,-0.16905624,0.37328017
1308269649,0.0874877,-0.16140716,0.3658607
1308293736,0.099373445,-0.15987733,0.3628929
1308305682,0.100859165,-0.17823513,0.361409
1308329274,0.09343058,-0.17364568,0.36882848
1308393292,0.09343058,-0.15987733,0.3628929
1308419915,0.09491629,-0.1568177,0.34508616
1308433232,0.07708768,-0.15834753,0.36882848
1308457276,0.100859165,-0.15834752,0.37476408
1308468869,0.1038306,-0.16599661,0.361409
1308481361,0.07560195,-0.15987734,0.36734456
1308492920,0.10828775,-0.15834752,0.3658607
1308505275,0.08897342,-0.16293697,0.37921575
1308516862,0.08897342,-0.14610898,0.3628929
1308529498,0.08897342,-0.16599661,0.3628929
1308541681,0.09491629,-0.17364568,0.37328017
1308565284,0.10234488,-0.16293697,0.36734456
1308577568,0.10234488,-0.16752642,0.37328017
1308588900,0.09343058,-0.16599661,0.36882848
1308601409,0.09194486,-0.16140716,0.38663524
1308612894,0.086001985,-0.16293697,0.3599251
1308637662,0.08897342,-0.15375806,0.37328017
1308649644,0.09491629,-0.15375806,0.38663524
