timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,connected,system_source,priority,is_powering_off,warning
2522656861,24.034262,24.053343,0.0744,0.070796736,0.0,46.819454,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2523150557,24.034262,24.051252,0.0744,0.07179822,0.0,46.82942,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2523654582,24.054459,24.050373,0.062,0.07063804,0.0,46.83917,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2524158822,24.014065,24.045408,0.0744,0.07007643,0.0,46.848896,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2524662490,24.034262,24.03998,0.062,0.070399955,0.0,46.8588,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2525166551,24.094852,24.04226,0.062,0.06930929,0.0,46.868427,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2525670419,24.034262,24.040564,0.0744,0.06966126,0.0,46.878307,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2526174462,24.034262,24.038214,0.0744,0.07065223,0.0,46.888268,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2526668046,24.054459,24.040392,0.062,0.07079294,0.0,46.898018,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2527172457,23.993868,24.041788,0.062,0.07066103,0.0,46.90786,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2527676075,24.054459,24.041668,0.062,0.069949076,0.0,46.917522,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2528180054,24.034262,24.043022,0.062,0.06949625,0.0,46.92719,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2528684099,24.014065,24.04311,0.0744,0.069896035,0.0,46.93694,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2529176061,24.034262,24.036428,0.0744,0.07040899,0.0,46.946606,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2529680326,24.034262,24.027412,0.0744,0.07075824,0.0,46.956535,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2530184074,24.014065,24.030493,0.0868,0.07092551,0.0,46.96646,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2530689759,24.034262,24.034369,0.0744,0.070777275,0.0,46.976368,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2531193773,24.074656,24.039062,0.0744,0.06972859,0.0,46.986042,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2531697980,24.054459,24.038143,0.0744,0.069566086,0.0,46.99585,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2532189726,24.074656,24.041582,0.0744,0.06981827,0.0,47.00543,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2532693783,24.074656,24.046337,0.0744,0.07055275,0.0,47.015427,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2533197928,24.034262,24.040874,0.0744,0.070055984,0.0,47.02513,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2533701637,23.650522,23.984297,0.0744,0.071263306,0.0,47.035202,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2534206206,23.832293,23.901932,0.0744,0.070246205,0.0,47.04493,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2534699320,23.953474,23.915133,0.062,0.06968005,0.0,47.05441,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
