timestamp,timestamp_last_signal,channel_count,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],rc_failsafe,rc_lost,input_source
2469005384,2469005384,18,255,0,0,0,1510,1514,1507,1510,1514,1094,1934,1094,1094,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
2469053144,2469053144,18,255,0,0,0,1510,1514,1507,1510,1514,1094,1934,1094,1094,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
2469097272,2469097272,18,255,0,0,0,1510,1514,1507,1510,1514,1094,1934,1094,1094,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
2469145014,2469145014,18,255,0,0,0,1510,1514,1507,1510,1514,1094,1934,1094,1094,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
2469185370,2469185370,18,255,0,0,0,1510,1514,1507,1510,1514,1094,1934,1094,1094,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
2469228994,2469228994,18,255,0,0,0,1510,1514,1507,1510,1514,1094,1934,1094,1094,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
2469269138,2469269138,18,255,0,0,0,1510,1514,1507,1510,1514,1094,1934,1094,1094,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
2469313208,2469313208,18,255,0,0,0,1510,1514,1507,1510,1514,1094,1934,1094,1094,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
2469353143,2469353143,18,255,0,0,0,1510,1514,1507,1510,1514,1094,1934,1094,1094,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
2469401363,2469401363,18,255,0,0,0,1510,1514,1507,1510,1514,1094,1934,1094,1094,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
2469421230,2469421230,18,255,0,0,0,1510,1514,1507,1510,1514,1094,1934,1094,1094,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
2469484957,2469484957,18,255,0,0,0,1510,1514,1507,1510,1514,1094,1934,1094,1094,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
2469524983,2469524983,18,255,0,0,0,1510,1514,1507,1510,1514,1094,1934,1094,1094,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
2469569231,2469569231,18,255,0,0,0,1510,1514,1507,1510,1514,1094,1934,1094,1094,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
2469589229,2469589229,18,255,0,0,0,1510,1514,1507,1510,1514,1094,1934,1094,1094,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
2469637226,2469637226,18,255,0,0,0,1510,1514,1507,1510,1514,1094,1934,1094,1094,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
