timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
2589024632,2589024482,0.08945152,0.05503992,-0.04474925,0.5207772,0.0,0.0,0.0,-1.0
2589064637,2589064505,0.100545935,0.06459004,-0.04632315,0.5207706,0.0,0.0,0.0,-1.0
2589108634,2589108490,0.09911381,0.055134587,-0.0455344,0.5207645,0.0,0.0,0.0,-1.0
2589148627,2589148480,0.10355131,0.055069078,-0.04683215,0.52075887,0.0,0.0,0.0,-1.0
2589192716,2589192485,0.114073664,0.04141526,-0.051298175,0.5207535,0.0,0.0,0.0,-1.0
2589234248,2589234074,0.1373037,0.012994703,-0.07250358,0.5207486,0.0,0.0,0.0,-1.0
2589274216,2589274073,0.12532628,0.01632386,-0.07817144,0.52069956,0.0,0.0,0.0,-1.0
2589318216,2589318074,0.09969709,0.02974556,-0.06895196,0.5207401,0.0,0.0,0.0,-1.0
2589358229,2589358074,0.10743316,0.045263484,-0.07821656,0.52070767,0.0,0.0,0.0,-1.0
2589402313,2589402074,0.09370761,0.050436508,-0.09038691,0.52071106,0.0,0.0,0.0,-1.0
2589446298,2589446123,0.104549915,0.035048153,-0.08645004,0.5207141,0.0,0.0,0.0,-1.0
2589490294,2589490074,0.12025709,0.022076515,-0.09297231,0.5207168,0.0,0.0,0.0,-1.0
2589530336,2589530123,0.114411496,0.014658753,-0.08749898,0.5207192,0.0,0.0,0.0,-1.0
2589570226,2589570074,0.11576938,0.038892064,-0.08268927,0.5207211,0.0,0.0,0.0,-1.0
2589614265,2589614123,0.11016458,0.06363096,-0.07322992,0.5207228,0.0,0.0,0.0,-1.0
2589658292,2589658074,0.09283192,0.065425895,-0.07514681,0.52072227,0.0,0.0,0.0,-1.0
2589702321,2589702074,0.09181248,0.05945514,-0.07212044,0.5207254,0.0,0.0,0.0,-1.0
2589742326,2589742074,0.10090396,0.058504555,-0.07314165,0.5207199,0.0,0.0,0.0,-1.0
2589786308,2589786078,0.10922227,0.038834523,-0.079812385,0.5207271,0.0,0.0,0.0,-1.0
2589826317,2589826074,0.09388217,0.005174701,-0.06564847,0.5207184,0.0,0.0,0.0,-1.0
2589870267,2589870098,0.10081867,0.005878649,-0.0641416,0.5207179,0.0,0.0,0.0,-1.0
2589910284,2589910074,0.09773211,0.031943373,-0.07331783,0.5207176,0.0,0.0,0.0,-1.0
2589950237,2589950087,0.08558625,0.034926765,-0.07017444,0.5207174,0.0,0.0,0.0,-1.0
2589994299,2589994074,0.08415765,0.035433605,-0.07185385,0.5207173,0.0,0.0,0.0,-1.0
2590038261,2590038074,0.07796232,0.03544588,-0.06863338,0.5207173,0.0,0.0,0.0,-1.0
2590078255,2590078074,0.07901628,0.020871896,-0.07063569,0.5207174,0.0,0.0,0.0,-1.0
2590122423,2590122079,0.071511745,0.001826518,-0.069579184,0.52071756,0.0,0.0,0.0,-1.0
2590162452,2590162074,0.074152336,0.006808766,-0.06753077,0.52071774,0.0,0.0,0.0,-1.0
2590202290,2590202076,0.06906958,0.008933473,-0.062365025,0.52072793,0.0,0.0,0.0,-1.0
2590242266,2590242074,0.065208085,0.0042413687,-0.060640298,0.5207277,0.0,0.0,0.0,-1.0
2590286261,2590286091,0.058543228,0.006558177,-0.058607846,0.52072734,0.0,0.0,0.0,-1.0
2590330263,2590330074,0.059197083,0.012838194,-0.057287224,0.5207189,0.0,0.0,0.0,-1.0
2590374259,2590374074,0.06234212,0.014984686,-0.04883614,0.52072674,0.0,0.0,0.0,-1.0
2590414272,2590414082,0.058447573,0.008566044,-0.046788707,0.52072644,0.0,0.0,0.0,-1.0
2590458261,2590458078,0.05633708,0.0035292392,-0.04749106,0.522006,0.0,0.0,0.0,-1.0
