timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,vision_attitude_timestamp_rel,vision_position_timestamp_rel
2573446080,32767,32767,32767,32767,32767,32767,32767,32767
2573450074,32767,32767,32767,32767,32767,32767,32767,32767
2573454074,32767,32767,32767,32767,-62,-64,32767,32767
2573458074,32767,32767,32767,32767,32767,32767,32767,32767
2573462095,32767,32767,32767,32767,32767,32767,32767,32767
2573466080,32767,32767,32767,32767,-61,-61,32767,32767
2573470074,32767,32767,32767,32767,32767,32767,32767,32767
2573474074,32767,32767,32767,32767,32767,32767,32767,32767
2573478074,32767,32767,32767,32767,-65,32767,32767,32767
2573482074,32767,32767,32767,32767,32767,32767,32767,32767
2573486129,32767,32767,32767,32767,32767,32767,32767,32767
2573490074,32767,32767,32767,32767,32767,-61,32767,32767
2573494085,32767,32767,32767,32767,32767,32767,32767,32767
2573498074,32767,32767,32767,32767,32767,32767,32767,32767
2573502074,32767,32767,32767,32767,-63,-63,32767,32767
2573506075,32767,32767,32767,32767,32767,32767,32767,32767
2573510074,32767,32767,32767,32767,32767,32767,32767,32767
2573514074,32767,32767,32767,32767,-59,-60,32767,32767
2573518075,32767,32767,32767,32767,32767,32767,32767,32767
2573522083,32767,32767,32767,32767,32767,32767,32767,32767
2573526088,32767,32767,-61,32767,-63,-63,32767,32767
2573534074,32767,32767,32767,32767,32767,32767,32767,32767
2573538074,32767,32767,32767,32767,32767,32767,32767,32767
2573542077,32767,32767,32767,32767,32767,-64,32767,32767
2573546104,32767,32767,32767,32767,32767,32767,32767,32767
2573550092,32767,32767,32767,32767,32767,32767,32767,32767
2573554074,32767,32767,32767,32767,-58,-59,32767,32767
2573558081,32767,32767,32767,32767,32767,32767,32767,32767
2573562074,32767,32767,32767,32767,32767,32767,32767,32767
2573566087,32767,32767,32767,32767,-62,-62,32767,32767
2573570098,32767,32767,32767,32767,32767,32767,32767,32767
2573574074,32767,32767,32767,32767,32767,32767,32767,32767
2573578080,32767,32767,32767,32767,-61,-62,32767,32767
2573582075,32767,32767,32767,32767,32767,32767,32767,32767
2573586074,32767,32767,32767,32767,32767,32767,32767,32767
2573590108,32767,32767,32767,32767,32767,-65,32767,32767
2573598079,32767,32767,32767,32767,32767,32767,32767,32767
2573602074,32767,32767,32767,32767,-42,-42,32767,32767
2573606074,32767,32767,32767,32767,32767,32767,32767,32767
2573610088,32767,32767,32767,32767,32767,32767,32767,32767
2573614074,32767,32767,32767,32767,-43,32767,32767,32767
2573618074,32767,32767,32767,32767,32767,32767,32767,32767
2573622102,32767,32767,32767,32767,32767,32767,32767,32767
2573626074,32767,32767,32767,32767,32767,32767,32767,32767
2573630104,32767,32767,32767,32767,-61,-63,32767,32767
2573634082,32767,32767,32767,32767,32767,32767,32767,32767
2573638074,32767,32767,32767,32767,32767,32767,32767,32767
2573642074,32767,32767,32767,32767,32767,-51,32767,32767
2573646074,32767,32767,32767,32767,32767,32767,32767,32767
2573650085,32767,32767,32767,32767,32767,32767,32767,32767
2573654124,32767,32767,32767,32767,-53,32767,32767,32767
2573658074,32767,32767,32767,32767,32767,32767,32767,32767
2573662074,32767,32767,32767,32767,32767,32767,32767,32767
2573666074,32767,32767,32767,32767,-51,-51,32767,32767
2573670074,32767,32767,32767,32767,32767,32767,32767,32767
2573674076,32767,32767,32767,32767,32767,32767,32767,32767
2573678077,32767,32767,32767,32767,-54,-54,32767,32767
2573682074,32767,32767,32767,32767,32767,32767,32767,32767
2573686074,32767,32767,32767,32767,32767,32767,32767,32767
2573690080,32767,32767,32767,32767,32767,-51,32767,32767
2573694074,32767,32767,32767,32767,32767,32767,32767,32767
2573698085,32767,32767,32767,32767,32767,32767,32767,32767
2573702074,32767,32767,32767,32767,-53,32767,32767,32767
2573706074,32767,32767,32767,32767,32767,32767,32767,32767
2573710080,32767,32767,32767,32767,32767,32767,32767,32767
2573718106,32767,32767,32767,32767,32767,32767,32767,32767
2573722074,32767,32767,32767,32767,32767,32767,32767,32767
2573726074,32767,32767,32767,32767,-54,-54,32767,32767
2573730080,32767,32767,32767,32767,32767,32767,32767,32767
2573734074,32767,32767,32767,32767,32767,32767,32767,32767
2573738099,32767,32767,32767,32767,32767,-46,32767,32767
2573742074,32767,32767,32767,32767,32767,32767,32767,32767
2573746074,32767,32767,32767,32767,32767,32767,32767,32767
2573750074,32767,32767,-301,32767,-53,32767,32767,32767
2573754074,32767,32767,32767,32767,32767,32767,32767,32767
2573758124,32767,32767,32767,32767,32767,32767,32767,32767
2573762074,32767,32767,32767,32767,-50,-50,32767,32767
2573766074,32767,32767,32767,32767,32767,32767,32767,32767
2573770074,32767,32767,32767,32767,32767,32767,32767,32767
2573774074,32767,32767,32767,32767,-53,-54,32767,32767
2573778074,32767,32767,32767,32767,32767,32767,32767,32767
2573782074,32767,32767,32767,32767,32767,32767,32767,32767
2573786076,32767,32767,32767,32767,32767,-40,32767,32767
2573790074,32767,32767,32767,32767,32767,32767,32767,32767
2573794074,32767,32767,32767,32767,32767,32767,32767,32767
2573798104,32767,32767,32767,32767,-44,-44,32767,32767
2573802080,32767,32767,32767,32767,32767,32767,32767,32767
2573806074,32767,32767,32767,32767,32767,32767,32767,32767
2573810074,32767,32767,32767,32767,-42,-42,32767,32767
2573814074,32767,32767,32767,32767,32767,32767,32767,32767
2573818074,32767,32767,32767,32767,32767,32767,32767,32767
2573822130,32767,32767,32767,32767,-55,32767,32767,32767
2573826074,32767,32767,32767,32767,32767,32767,32767,32767
2573830074,32767,32767,32767,32767,32767,32767,32767,32767
2573834074,32767,32767,32767,32767,32767,-50,32767,32767
2573838074,32767,32767,32767,32767,32767,32767,32767,32767
2573842080,32767,32767,32767,32767,32767,32767,32767,32767
2573846090,32767,32767,32767,32767,-54,32767,32767,32767
2573850074,32767,32767,32767,32767,32767,32767,32767,32767
2573854074,32767,32767,32767,32767,32767,32767,32767,32767
2573858086,32767,32767,32767,32767,-49,-49,32767,32767
2573862074,32767,32767,32767,32767,32767,32767,32767,32767
2573866122,32767,32767,32767,32767,32767,32767,32767,32767
2573870074,32767,32767,32767,32767,-54,-54,32767,32767
2573874074,32767,32767,32767,32767,32767,32767,32767,32767
2573878074,32767,32767,32767,32767,32767,32767,32767,32767
2573882093,32767,32767,32767,32767,32767,-49,32767,32767
2573886090,32767,32767,32767,32767,32767,32767,32767,32767
2573894074,32767,32767,32767,32767,-54,-54,32767,32767
2573898076,32767,32767,32767,32767,32767,32767,32767,32767
2573902074,32767,32767,32767,32767,32767,32767,32767,32767
2573906110,32767,32767,32767,32767,-48,-48,32767,32767
2573910074,32767,32767,32767,32767,32767,32767,32767,32767
2573914081,32767,32767,32767,32767,32767,32767,32767,32767
2573918074,32767,32767,32767,32767,-52,-52,32767,32767
2573922074,32767,32767,-41,32767,32767,32767,32767,32767
2573926076,32767,32767,32767,32767,32767,32767,32767,32767
2573930112,32767,32767,32767,32767,32767,32767,32767,32767
2573934081,32767,32767,32767,32767,32767,32767,32767,32767
2573938092,32767,32767,32767,32767,32767,32767,32767,32767
2573942074,32767,32767,32767,32767,-42,-42,32767,32767
2573946074,32767,32767,32767,32767,32767,32767,32767,32767
2573950074,32767,32767,32767,32767,32767,32767,32767,32767
2573954091,32767,32767,32767,32767,-47,-47,32767,32767
2573958074,32767,32767,32767,32767,32767,32767,32767,32767
2573962074,32767,32767,32767,32767,32767,32767,32767,32767
2573966074,32767,32767,32767,32767,-54,-54,32767,32767
2573970074,32767,32767,32767,32767,32767,32767,32767,32767
2573974087,32767,32767,32767,32767,32767,32767,32767,32767
2573978074,32767,32767,32767,32767,32767,-49,32767,32767
2573982074,32767,32767,32767,32767,32767,32767,32767,32767
2573986074,32767,32767,32767,32767,32767,32767,32767,32767
2573990123,32767,32767,32767,32767,-54,-54,32767,32767
2573994107,32767,32767,32767,32767,32767,32767,32767,32767
2573998074,32767,32767,32767,32767,32767,32767,32767,32767
2574002074,32767,32767,32767,32767,32767,32767,32767,32767
2574006074,32767,32767,32767,32767,-64,-64,32767,32767
2574010075,32767,32767,32767,32767,32767,32767,32767,32767
2574014075,32767,32767,32767,32767,32767,32767,32767,32767
2574018074,32767,32767,32767,32767,-52,-52,32767,32767
2574022074,32767,32767,32767,32767,32767,32767,32767,32767
2574026074,32767,32767,32767,32767,32767,32767,32767,32767
2574030074,32767,32767,32767,32767,32767,-54,32767,32767
2574034083,32767,32767,32767,32767,32767,32767,32767,32767
2574038074,32767,32767,32767,32767,32767,32767,32767,32767
