timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
2509193274,-0.026448835,0.06623267,0.046353918,4000,0,0.09721158,-0.40528733,-9.265367,4000
2509197274,0.005922759,0.06107148,0.021470025,4000,0,0.5287663,-1.7124879,-9.210053,4000
2509201274,-0.037035327,0.06406961,4.210189e-05,4000,0,0.90054786,-1.2219368,-9.269007,4000
2509205274,-0.009645282,0.06378088,-0.008297927,4000,0,1.8211873,-0.2492715,-9.199891,4000
2509209276,-0.015513601,0.03703129,-0.04019369,4002,0,2.998034,0.22743215,-9.142868,4002
2509213280,-0.0389473,0.028160732,-0.05424952,4004,0,3.52734,1.82385,-9.471431,4004
2509217274,-0.014485774,0.03638861,-0.05477415,3994,0,4.21802,2.213975,-9.54074,3994
2509221274,-0.015010019,0.02391661,-0.056525223,4000,0,4.3860426,1.3547232,-9.913395,4000
2509225273,-0.024332307,0.046713676,-0.035814125,3999,0,4.1085157,0.4282675,-10.229732,3999
2509229274,-0.016676862,0.07085166,-0.009375974,4001,0,3.7745955,-0.7767405,-10.128302,4001
2509233274,-0.03427887,0.04311226,0.020342605,4000,0,3.0636015,-1.5511472,-10.314041,4000
2509237274,-0.0477972,0.026195265,0.051728047,4000,0,1.5886865,-1.0152832,-10.839887,4000
2509241273,-0.0442461,0.058676902,0.07212001,3999,0,0.31469557,0.21475883,-10.033965,3999
2509245273,-0.026275601,0.04196665,0.07066803,4000,0,-0.42449695,1.6258445,-9.285428,4000
2509249274,-0.03263038,0.025385726,0.07355492,4001,0,-1.2049168,3.484741,-9.724448,4001
2509253281,0.001680221,0.06493175,0.057857364,4007,0,-1.3354908,4.3995504,-10.056961,4007
2509257279,0.024425052,0.056131054,0.034052555,3998,0,-0.80962634,3.3990302,-9.535668,3998
2509261273,0.028292242,0.040132914,0.0110928975,3994,0,-0.3903739,1.9666177,-9.196075,3994
2509265274,0.0345068,0.050683904,0.0051062503,4001,0,-0.34074128,0.3238181,-9.154515,4001
2509269274,0.029751485,0.075996555,-0.008727535,4000,0,-0.19738327,-1.3872468,-9.224869,4000
2509273280,0.011232542,0.064348266,-0.01138214,4006,0,-0.44041514,-1.7287085,-9.526668,4006
2509277312,0.0019629227,0.052338146,-0.006977112,4032,0,-0.8258934,-1.3935852,-9.698355,4032
2509281273,-0.008006097,0.07445708,-0.013256894,3961,0,-0.85897833,-0.92296207,-9.98015,3961
2509285273,-0.02454858,0.034615472,-0.016363682,4000,0,-0.8318165,-0.016433025,-9.466322,4000
2509289279,0.01138126,0.042062417,-0.013229928,4006,0,-0.8487906,0.15587626,-9.766875,4006
2509293282,0.009553094,0.042799782,-0.008007917,4003,0,-0.5727257,-0.50819486,-10.674015,4003
2509297280,-0.0075436733,0.031072564,-0.00056884973,3998,0,-0.61862606,-1.1095047,-10.204707,3998
2509301275,0.021436857,0.024197122,0.003867496,3995,0,-0.67594796,-1.6348928,-10.278127,3995
2509305274,0.03000395,0.027067548,0.012288333,3999,0,-1.228132,-2.1317055,-10.659283,3999
2509309274,0.0034125634,0.053115644,0.00041034582,4000,0,-1.4984862,-1.628519,-10.693541,4000
2509313307,-0.01803909,0.04002833,0.0068182256,4033,0,-1.9069376,-0.3285983,-9.655359,4033
2509317300,0.022809913,0.07824305,-0.0044678524,3993,0,-1.880793,0.4603087,-9.9798975,3993
2509321287,-0.006339566,0.06845863,-0.022205962,3987,0,-0.9688816,0.9501374,-10.009668,3987
2509325280,-0.012570128,0.06794143,-0.021474633,3993,0,-0.013327408,1.3630527,-9.06768,3993
2509329274,0.030027322,0.054250773,-0.025572708,3994,0,1.4406502,0.3870188,-8.838944,3994
2509333274,0.026245808,0.0473507,-0.024176586,4000,0,2.3109877,-0.7700513,-9.425062,4000
2509337275,-0.0024782333,0.05112888,-0.0050597023,4001,0,2.9712121,-1.220191,-9.753025,4001
2509341275,0.0023579916,0.015397197,0.0064577595,4000,0,2.9764152,-1.387229,-9.62165,4000
2509345274,0.016681323,-0.00019746294,0.012935108,3999,0,2.331051,-0.9264344,-9.584608,3999
2509349274,0.015164191,0.03421577,0.019842945,4000,0,2.079153,-0.16331676,-9.627274,4000
2509353274,0.00026194777,0.009964561,0.019013377,4000,0,1.8020412,0.6761451,-9.328202,4000
2509357274,0.014421835,0.03861552,0.008519609,4000,0,1.5448316,1.0823982,-9.844012,4000
2509361274,0.0054774983,0.05123892,0.008079186,4000,0,1.6947675,0.96784556,-10.450938,4000
2509365274,-0.004512119,0.020980673,-0.0027975156,4000,0,1.6563832,0.37005278,-9.702955,4000
2509369274,-0.0016807407,-0.0034450681,-0.010689751,4000,0,1.1194766,-0.35352048,-9.559782,4000
2509373274,-0.019990074,0.020274516,-0.0115132,4000,0,0.7256545,-0.36912632,-9.648331,4000
2509377300,-0.0041252444,0.025282238,-0.008943672,4026,0,0.58077586,-0.15801542,-9.892262,4026
2509381274,-0.021066412,-0.010705978,-0.008513545,3974,0,0.23999806,0.3755697,-9.864591,3974
2509385287,-0.0044857906,0.020835225,0.0006054993,4013,0,0.0978071,1.5050803,-10.060882,4013
2509389274,0.026492601,0.029142419,-0.004237249,3987,0,0.68738997,1.6779543,-9.962506,3987
2509393273,0.01059733,0.015024842,-0.004850742,3999,0,0.7148113,1.1617571,-9.99723,3999
2509397274,-0.0093870545,0.039696477,-0.00017695414,4001,0,0.8732943,1.1420362,-10.298504,4001
2509401274,0.018391535,0.04321501,0.00013111447,4000,0,0.84265685,0.014649185,-9.867565,4000
2509405303,-0.020749038,0.009584844,-0.006015865,4029,0,0.5822471,-0.9671738,-9.564326,4029
2509409274,-0.058030535,0.0027300057,0.0012760827,3971,0,0.023247886,-0.19466652,-9.187105,3971
2509413273,-0.019383345,0.0065000583,0.0033141552,3999,0,-0.24131791,-0.1531852,-9.444527,3999
2509417274,-0.05295917,-0.0018782092,0.003418099,4001,0,-0.49014977,0.34325966,-9.859519,4001
2509421274,-0.023205265,0.006538664,0.002855885,4000,0,-0.23396656,1.4377058,-9.819544,4000
2509425317,0.014550041,-0.008010547,0.004880988,4043,0,-0.14050972,1.0237441,-10.044893,4043
2509429274,0.0026135398,-0.0008154813,-0.0045278724,3957,0,-0.102898896,0.29887897,-10.157569,3957
2509433274,-0.011005621,0.000558881,-0.0048297206,4000,0,-0.18798935,0.05694924,-9.88071,4000
2509437274,0.01264271,0.012823187,-0.0037800868,4000,0,-0.48170653,-0.7542363,-9.689728,4000
2509441274,-0.0185563,0.006612747,-0.011126555,4000,0,-0.7798063,-1.4336671,-9.807141,4000
2509445273,-0.05235866,0.01264003,-0.005917882,3999,0,-1.0358989,-0.9052601,-9.681443,3999
2509449274,-0.050923605,0.010123907,-0.007942689,4001,0,-0.9791326,-0.72783524,-9.505734,4001
2509453274,-0.079975955,-0.0093636075,-0.006276836,4000,0,-0.9523896,0.03849187,-9.690493,4000
2509457274,-0.039283924,0.007858126,-0.0069335387,4000,0,-0.6264932,0.72417283,-9.948964,4000
2509461323,-0.007278652,0.021902822,-0.011429503,4049,0,0.038261756,0.035956696,-9.969381,4049
2509465292,-0.034957506,-0.016743012,-0.0036322102,3969,0,0.4778157,-0.28991124,-10.148772,3969
2509469274,-0.009818249,0.013789604,0.0024491793,3982,0,0.7086739,-0.32953703,-10.198517,3982
2509473274,0.0110813705,0.020131694,0.0044831373,4000,0,0.8825252,-1.1871808,-9.908834,4000
2509477274,-0.031910446,0.008314638,0.0006579068,4000,0,0.98186016,-1.1789012,-9.549563,4000
2509481274,-0.043900594,0.011361335,0.008487308,4000,0,0.7078161,-0.40623385,-9.676865,4000
2509485273,-0.04179381,0.034726202,0.00240459,3999,0,0.7566475,-0.17614856,-9.737458,3999
2509489274,-0.07807568,0.008220874,-0.0023848757,4001,0,0.8593334,0.4501035,-9.480648,4001
2509493274,-0.05181794,0.019753337,-0.001307817,4000,0,0.9240697,1.0258803,-9.695422,4000
2509497280,-0.016626174,0.024716059,-0.015101509,4006,0,1.2407573,0.22352411,-10.483883,4006
2509501274,-0.06122673,-0.0027915796,-0.010357432,3994,0,1.1799017,-0.05933022,-10.294289,3994
2509505280,-0.022287706,0.012376221,-0.0048928275,4006,0,0.9618377,-0.15742147,-9.654816,4006
2509509273,-0.0067198235,0.020733263,-0.004926213,3993,0,0.9766421,-0.8407818,-9.566211,3993
2509513288,-0.032213815,0.012160132,0.0040208814,4015,0,0.6816056,-0.625445,-9.497756,4015
2509517280,-0.02909395,0.028837625,-0.00015216907,3992,0,0.55541325,-0.21822159,-9.901688,3992
2509521278,-0.053612653,0.043282505,0.0043888153,3998,0,0.5993212,0.5192057,-9.762111,3998
2509525274,-0.045336124,0.030265765,0.001855102,3996,0,0.80428964,0.9450202,-9.446694,3996
2509529275,-0.04184805,0.021981727,-0.006793777,4001,0,0.7800398,0.78168607,-10.606329,4001
2509533293,-0.07077896,0.047588266,-0.0014803422,4018,0,0.90857613,0.9792193,-10.536496,4018
2509537280,-0.040432584,0.033008084,0.0013457522,3987,0,1.021395,0.49498978,-9.100922,3987
2509541274,-0.030628143,0.02538525,0.00350674,3994,0,0.8408075,-0.27204478,-9.490917,3994
2509545282,-0.066683844,0.045229245,0.007343531,4008,0,0.8456119,0.007898218,-9.814001,4008
2509549275,-0.029060684,0.0377097,0.00939668,3993,0,0.7897778,0.32699215,-9.849717,3993
2509553292,-0.015225566,0.029151201,0.0069595245,4017,0,0.65520084,0.35396463,-9.7887,4017
2509557274,-0.030767666,0.022691801,0.008760729,3982,0,0.43586385,0.8712315,-10.005037,3982
2509561274,-0.01860475,0.034565758,-0.00084850163,4000,0,0.15558843,0.71434844,-10.401474,4000
2509565274,-0.05453235,0.029500218,-0.0064787753,4000,0,-0.30053788,0.5138085,-9.508728,4000
