timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
2599027933,112.39899,49.78,99982.2,1.187954
2599040288,112.65265,49.78,99979.2,1.1879183
2599064836,112.5681,49.77,99980.2,1.1879302
2599076663,112.5681,49.77,99980.2,1.1879302
2599088659,112.063416,49.77,99986.2,1.1880015
2599112549,112.48354,49.77,99981.21,1.1879421
2599124234,112.063416,49.77,99986.2,1.1880015
2599136603,112.39899,49.77,99982.21,1.1879541
2599160523,112.31708,49.78,99983.2,1.1879659
2599172657,112.99087,49.78,99975.2,1.1878707
2599184683,112.737206,49.78,99978.2,1.1879064
2599208314,112.5681,49.77,99980.2,1.1879302
2599219866,112.98823,49.77,99975.21,1.1878709
2599232421,113.15733,49.77,99973.2,1.187847
2599256027,112.48354,49.77,99981.21,1.1879421
2599267859,112.5681,49.77,99980.2,1.1879302
2599280195,112.90367,49.77,99976.21,1.1878828
2599304552,112.65265,49.77,99979.21,1.1879184
2599315898,112.5681,49.77,99980.2,1.1879302
2599328851,112.48354,49.77,99981.21,1.1879421
2599352721,112.39899,49.77,99982.21,1.1879541
2599364655,112.39899,49.77,99982.21,1.1879541
2599378917,112.48354,49.77,99981.21,1.1879421
2599403853,111.97886,49.77,99987.21,1.1880134
2599416226,112.737206,49.77,99978.21,1.1879065
2599427856,112.98823,49.77,99975.21,1.1878709
2599452668,112.737206,49.78,99978.2,1.1879064
2599464654,112.23252,49.78,99984.2,1.1879778
2599476696,112.147964,49.78,99985.2,1.1879896
2599499860,113.3238,49.76,99971.22,1.1878234
2599512553,112.39899,49.76,99982.22,1.1879542
2599524686,112.31444,49.76,99983.22,1.187966
2599548661,112.23252,49.77,99984.21,1.1879778
2599560708,112.737206,49.77,99978.21,1.1879065
2599571863,112.23252,49.77,99984.21,1.1879778
2599596671,112.063416,49.77,99986.2,1.1880015
2599609059,112.39899,49.77,99982.21,1.1879541
2599620692,112.65265,49.77,99979.21,1.1879184
2599644838,112.31444,49.77,99983.21,1.187966
2599656650,112.31444,49.77,99983.21,1.187966
2599667862,112.90367,49.77,99976.21,1.1878828
2599691858,112.063416,49.77,99986.2,1.1880015
2599704579,112.737206,49.77,99978.21,1.1879065
2599716282,112.5681,49.77,99980.2,1.1879302
2599739903,112.65265,49.77,99979.21,1.1879184
2599752860,112.39899,49.77,99982.21,1.1879541
2599764659,112.31444,49.77,99983.21,1.187966
2599791062,112.819115,49.77,99977.21,1.1878947
2599802968,112.65265,49.77,99979.21,1.1879184
2599815424,112.819115,49.77,99977.21,1.1878947
2599840413,112.90367,49.76,99976.22,1.1878829
2599851888,112.819115,49.76,99977.22,1.1878947
2599864225,113.23924,49.76,99972.22,1.1878353
2599888662,112.063416,49.77,99986.2,1.1880015
2599901780,112.48354,49.77,99981.21,1.1879421
2599913795,112.819115,49.77,99977.21,1.1878947
2599937735,112.23252,49.77,99984.21,1.1879778
2599949869,112.48354,49.77,99981.21,1.1879421
2599961845,111.55873,49.77,99992.2,1.1880728
2599985799,112.5681,49.77,99980.2,1.1879302
2599998133,111.7252,49.77,99990.21,1.1880491
2600009778,111.97886,49.77,99987.21,1.1880134
2600033769,111.64329,49.77,99991.21,1.188061
2600046025,112.65265,49.77,99979.21,1.1879184
2600057774,112.23252,49.77,99984.21,1.1879778
2600081839,112.65265,49.77,99979.21,1.1879184
2600094320,112.819115,49.77,99977.21,1.1878947
2600105752,112.819115,49.77,99977.21,1.1878947
2600129709,112.819115,49.77,99977.21,1.1878947
2600142299,112.23252,49.77,99984.21,1.1879778
2600153538,113.07278,49.77,99974.2,1.1878589
2600177721,112.5681,49.77,99980.2,1.1879302
2600190447,112.819115,49.77,99977.21,1.1878947
